country,gender,age_group,religion,environment
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,56-65,,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,65+,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,65+,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,65+,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,65+,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Other religious group,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,56-65,I do not identify with any religious group or faith,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,65+,I do not identify with any religious group or faith,Urban
Argentina,Male,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,I do not identify with any religious group or faith,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,18-25,,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,56-65,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,36-45,Other religious group,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,18-25,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,56-65,I do not identify with any religious group or faith,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,56-65,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,46-55,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,18-25,I do not identify with any religious group or faith,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Male,36-45,I do not identify with any religious group or faith,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,56-65,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,46-55,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,36-45,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Male,46-55,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Female,26-35,Christianity,Urban
Argentina,Male,18-25,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,46-55,Christianity,Rural
Argentina,Female,46-55,Christianity,Rural
Argentina,Female,36-45,Christianity,Rural
Argentina,Female,18-25,Christianity,Rural
Argentina,Male,18-25,Christianity,Rural
Argentina,Female,26-35,Christianity,Rural
Argentina,Male,65+,Christianity,Rural
Argentina,Male,26-35,Christianity,Rural
Argentina,Female,65+,Christianity,Rural
Argentina,Male,26-35,Christianity,Rural
Argentina,Female,56-65,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
Argentina,Female,65+,Christianity,Urban
Argentina,Male,56-65,Christianity,Urban
Argentina,Male,65+,Christianity,Urban
Argentina,Male,26-35,I do not identify with any religious group or faith,Urban
Argentina,Female,18-25,Christianity,Urban
Argentina,Male,26-35,Christianity,Urban
Argentina,Female,36-45,Christianity,Urban
